Number of active threads;Average HTTP Request;HTTP Request
830;;78.26748251748255
831;;78.00083891081474
832;;78.68340611353712
833;;87.22217146586179
834;;76.92093023255808
835;;88.39696304129251
836;;72.61095130698611
837;;69.65455212922171
838;;76.62680402401577
839;;78.23280079980846
840;;76.48502444987773
841;;94.04423758865248
842;;94.58781884174736
843;;78.28288288288286
844;;77.75033485696098
845;;73.65384615384613
846;;87.82711275240547
847;;82.41372912801486
848;;73.44148148148149
849;;71.85555555555558
850;;81.20614248117226
851;;89.52100834624397
852;;104.04338394793926
853;;94.6845782853816
854;;88.9123328380386
855;;69.0932940681697
856;;72.49012567324961
857;;75.68433424498447
858;;86.82061068702292
859;;112.49920532808599
860;;122.89265536723164
861;;119.01579001243364
862;;93.97591290305782
863;;91.73895582329322
864;;81.48147451937024
865;;74.3639945103899
866;;85.49145124454773
867;;87.89051521108667
868;;72.0654241140083
869;;75.06466512702077
870;;85.44920993227991
871;;91.28281645166373
872;;74.34331059793804
873;;81.50005616369975
874;;65.17921424156475
875;;77.14957631046586
876;;69.11435278336684
877;;95.84727272727275
878;;85.38177317037966
879;;73.50615272400182
880;;80.86950925627528
881;;87.32581835627556
882;;81.04123711340206
883;;68.1411249850193
884;;93.12096504414151
885;;70.91267605633797
886;;94.47844501373294
887;;81.53341695204206
888;;99.61970473942556
889;;88.95753073197245
890;;92.49425287356327
891;;93.92375366568909
892;;96.86424244250627
893;;76.36569367655511
894;;77.12762762762763
895;;75.64847161572054
896;;74.8030011765072
897;;130.483660130719
898;;121.38972588407621
899;;97.44033613445377
900;;95.5108695652174
901;;97.24905032503385
902;;77.61325966850833
903;;88.81367298475037
904;;98.763671875
905;;80.86634373230518
906;;79.33842324206026
907;;81.01648419702522
908;;74.90607457736792
909;;82.82831177146426
910;;92.58177440411274
911;;97.02109510554628
912;;74.10685325377531
913;;67.12962962962965
914;;85.16278983446956
915;;82.25999946239446
916;;92.40974677968438
917;;82.74788320185034
918;;64.7581967213115
919;;79.28995149067342
920;;80.32150776053213
921;;90.30140107499594
922;;99.59052453468702
923;;87.46989565947975
924;;92.90236560240142
925;;107.39879385964916
926;;78.33992558199303
927;;91.64477376242078
928;;86.26284998343272
929;;82.95043363748005
930;;86.29522710575367
931;;89.17802648769823
932;;91.1086636802509
933;;92.99337970546003
934;;82.2369096390613
935;;108.85514356672914
936;;118.32954560313827
937;;91.57994251848633
938;;85.7439024390244
939;;86.12841081177459
940;;85.52173913043477
941;;94.75892900746211
942;;71.48391118783864
943;;83.13254182102182
944;;98.18745722545154
945;;73.9980971629446
946;;85.21637209592927
947;;86.67417726739204
948;;86.7409831239934
949;;109.26290281604814
950;;86.94153256835033
951;;76.22022848216882
952;;87.78521683442125
953;;78.98960839679452
954;;86.83083107199924
955;;88.50283842461224
956;;69.78506787330318
957;;81.94694294893924
958;;80.80128205128203
959;;87.05882091993347
960;;77.01961482068536
961;;84.80167597765363
962;;115.5635314627296
963;;92.55122232004486
964;;94.88520234626019
965;;92.46859083191853
966;;77.03997105045495
967;;91.14847942754916
968;;80.04761904761898
969;;78.3368330000636
970;;100.99262826170951
971;;110.85817307692308
972;;106.89540015540017
973;;79.22058748859114
974;;91.26564232536033
975;;99.06191506971415
976;;95.56644907008254
977;;121.59692643740786
978;;133.27613412228814
979;;101.6309453254383
980;;93.22303921568631
981;;94.2195540308748
982;;88.7139162155951
983;;91.93175406676632
984;;87.17193349313881
985;;87.89595600710597
986;;92.38235060882448
987;;86.66987620357631
988;;82.33009784127972
989;;87.79301877244177
990;;109.25437167037116
991;;93.80388978930313
992;;81.63086198742519
993;;81.55986068526286
994;;81.18327787319308
995;;92.82194314457452
996;;91.46252285191956
997;;88.2755474452555
998;;86.25826446280995
999;;91.6516666666666
1000;;96.58760683760684
1001;;101.83018867924524
1002;;126.2037667511771
1003;;97.77319587628863
1004;;107.50413223140495
1005;;96.72368421052636
1006;;86.78995173221094
1007;;88.27777188578969
1008;;93.82751540041068
1009;;110.52170635656819
1010;;89.38250399999998
1011;;80.77009345794389
1012;;88.27917778233807
1013;;100.98558086119425
1014;;105.85950413223134
1015;;125.33766233766235
1016;;121.01458670988654
1017;;126.51316310372131
1018;;98.604347826087
1019;;109.38951338686172
1020;;114.87404411873416
1021;;104.53792403786179
1022;;101.44565294284097
1023;;92.48960448640473
1024;;87.77639991957376
1025;;93.68670997458848
1026;;98.08978763919359
1027;;95.28762529376395
1028;;101.20887245841033
